AI SP500 9MRel RD 5

Date,Symbol,Type,Shares,Price,Amount,TotFees,Rank,Notes
2026-04-13,NVDA,BUY,"1,379.00",188.505,"-260,222.30",-273.91,99.40,*
2026-04-13,GRMN,SELL,"-1,025.00",260.21625,"266,448.10",-273.56,89.38,*Rank
2026-03-23,NRG,BUY,"1,240.00",151.305,"-187,811.39",-193.192,99.20,*
2026-03-23,C,BUY,"1,651.00",111.91,"-184,960.74",-197.3275,99.40,*
2026-03-23,DDOG,SELL,"-1,557.00",128.259975,"199,490.46",-210.3196,91.60,*Rank
2026-03-23,CRWD,SELL,-425.00,412.7625,"175,245.99",-178.075,89.60,*Rank
2026-02-02,CRWD,BUY,425.00,439.92105,"-187,158.29",-191.8471,99.40,*
2026-02-02,AVGO,BUY,567.00,331.00625,"-187,874.06",-193.5171,99.60,*
2026-02-02,NVDA,SELL,"-1,108.00",186.60,"206,529.95",-222.852,91.80,*Rank
2026-02-02,MSFT,SELL,-401.00,424.9315,"170,220.98",-176.5563,88.20,*Rank
2026-01-26,DDOG,BUY,"1,557.00",135.122475,"-210,603.87",-218.18,99.40,*
2026-01-26,TTWO,SELL,-820.00,245.6275,"201,204.85",-209.70,91.40,*Rank
2026-01-20,MSFT,BUY,401.00,453.78,"-182,154.19",-188.41,99.60,*
2026-01-20,FTNT,SELL,"-2,480.00",75.0175,"185,831.66",-211.74,91.80,*Rank
2025-11-28,FTNT,BUY,"2,480.00",80.9925,"-201,085.96",-224.564,99.00,*
2025-11-28,META,BUY,315.00,644.8625,"-203,334.42",-202.7371,99.20,*
2025-11-28,TTWO,BUY,820.00,245.5925,"-201,593.83",-207.9766,99.40,*
2025-11-28,NVDA,BUY,"1,108.00",177.4475,"-196,822.64",-210.8081,99.60,*
2025-11-28,GRMN,BUY,"1,025.00",195.21,"-200,300.16",-209.9097,99.80,*
2025-11-26,,CASH,,,"1,000,000.00",,,Starting cash
